Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,anomaly,anomaly_reason
50265,58840,23141,58840,allow,132,132,0,3,1200,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
6881,35179,42052,35179,allow,228,118,110,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
50265,25490,26928,25490,allow,1766,1332,434,22,1200,15,7,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
6881,50239,58874,50239,allow,3514,1874,1640,15,1200,8,7,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
57281,443,25432,443,allow,212477,8324,204153,232,122,79,153,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50265,49754,28018,49754,allow,402,132,270,6,1209,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
50615,80,48256,80,allow,190675,79205,111470,237,41,104,133,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
59644,443,54066,443,allow,8362065,55143,8306922,6375,152,332,6043,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50293,80,34278,80,allow,134242,13446,120796,154,161,58,96,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60006,443,38577,443,allow,185169,75281,109888,426,111,209,217,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
50298,80,48126,80,allow,166956,16834,150122,187,161,72,115,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56479,80,1802,80,allow,460182,11717,448465,462,135,162,300,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50297,80,4817,80,allow,145266,14613,130653,165,161,63,102,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53886,49618,46889,49618,allow,492,306,186,8,16,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
37694,5228,64819,5228,allow,6930,1665,5265,18,3601,9,9,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
38102,5228,57941,5228,allow,4235,1797,2438,38,4443,13,25,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
54054,5228,24551,5228,allow,8767,2486,6281,45,6062,24,21,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Sent"
6881,6881,62439,6881,allow,502,150,352,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
53885,50379,49864,50379,allow,492,306,186,8,15,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
56638,443,50177,443,allow,44984,28294,16690,77,40,40,37,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
60021,443,37470,443,allow,346221,14712,331509,474,107,211,263,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54634,443,32455,443,allow,225732,7330,218402,246,174,86,160,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38707,443,59526,443,allow,774099,15769,758330,743,16,223,520,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64054,54778,50482,54778,allow,312,132,180,6,6,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
60037,443,34987,443,allow,376301,13445,362856,452,102,198,254,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60030,443,28456,443,allow,711172,27430,683742,812,104,342,470,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55195,443,41833,443,allow,907774,32911,874863,898,460,195,703,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51103,443,36898,443,allow,20280,13177,7103,82,1176,46,36,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
59392,443,2075,443,allow,105190,30835,74355,372,589,169,203,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
37027,443,52306,443,allow,90706,5324,85382,128,262,66,62,1,"High deviation in pkts_sent, Bytes Received, Bytes"
37031,443,21372,443,allow,43818,31519,12299,85,259,49,36,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
54805,443,42817,443,allow,19635,9923,9712,165,588,72,93,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
59570,443,28825,443,allow,24203,14278,9925,168,320,74,94,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
57211,443,58131,443,allow,25881,12394,13487,221,579,105,116,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
37965,46405,21208,46405,allow,1217,594,623,16,1764,10,6,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
48817,48489,48817,48489,allow,480,149,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
43480,443,57887,443,allow,58423,25600,32823,86,138,40,46,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52182,443,4685,443,allow,237151,13019,224132,251,42,90,161,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56730,443,7897,443,allow,347884,9284,338600,360,31,125,235,1,"High deviation in pkts_sent, Bytes Received, Bytes"
39416,443,62311,443,allow,11188,5277,5911,95,587,44,51,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
65511,443,62661,443,allow,430254,12640,417614,442,16,155,287,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52096,55854,62191,55854,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
43750,443,22954,443,allow,248384,70243,178141,544,588,246,298,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
41011,443,63172,443,allow,175097,9838,165259,244,106,120,124,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65510,443,47071,443,allow,92101,4799,87302,107,16,43,64,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56313,443,7717,443,allow,37465,18615,18850,299,588,135,164,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
60020,443,30222,443,allow,495428,22440,472988,692,106,316,376,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56664,443,64784,443,allow,9160636,285656,8874980,9685,189,3160,6525,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50584,51413,3341,51413,allow,475,150,325,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
54117,443,30153,443,allow,661695,28430,633265,779,118,335,444,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51824,443,65512,443,allow,10841,6594,4247,75,585,37,38,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
51667,25826,2987,25826,allow,9440,9440,0,11,30,11,0,1,"High deviation in pkts_sent, NAT Destination Port, Bytes Sent"
37569,443,62296,443,allow,97539,6936,90603,160,597,74,86,1,"High deviation in pkts_sent, Bytes Received, Bytes"
44847,42103,11973,42103,allow,502,150,352,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
55877,64536,41597,64536,allow,469,150,319,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
59068,443,48115,443,allow,11182,6150,5032,65,1775,41,24,1,"High deviation in pkts_sent, Bytes Sent, Elapsed Time (sec)"
36400,443,31590,443,allow,53365,28404,24961,565,753,302,263,1,"High deviation in pkts_sent, Bytes Sent, Packets"
54125,443,18046,443,allow,170665,9296,161369,227,116,102,125,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53347,443,16972,443,allow,21456,6153,15303,120,491,46,74,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
49332,443,44143,443,allow,142684,5997,136687,134,48,31,103,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48817,41768,48817,41768,allow,511,152,359,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
49154,443,24167,443,allow,3163100,158133,3004967,3863,264,1464,2399,1,"High deviation in pkts_sent, Bytes Received, Bytes"
15503,50321,53712,50321,allow,490,149,341,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
54118,443,28446,443,allow,115373,6904,108469,171,117,87,84,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64022,60918,60664,60918,allow,70,70,0,1,4,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
50824,80,46115,80,allow,36051,11695,24356,109,265,55,54,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
54627,443,30890,443,allow,182017,6621,175396,189,181,55,134,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50827,80,8180,80,allow,35970,11674,24296,108,265,55,53,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
50825,80,41226,80,allow,35970,11674,24296,108,265,55,53,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
54127,443,25652,443,allow,148422,10568,137854,223,115,114,109,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54126,443,11328,443,allow,147104,9481,137623,217,115,111,106,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38460,443,18587,443,allow,14768,3347,11421,69,1902,32,37,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50826,80,48832,80,allow,35970,11674,24296,108,265,55,53,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
49213,443,9169,443,allow,157994,4952,153042,186,255,68,118,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53164,48198,7411,48198,allow,320,140,180,6,7,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52121,58933,17101,58933,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
54054,443,10549,443,allow,34629391,1109219,33520172,36863,278,12240,24623,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49327,443,21395,443,allow,116686,4968,111718,116,53,31,85,1,"High deviation in pkts_sent, Bytes Received, Bytes"
30960,45755,44633,45755,allow,462,462,0,8,3631,8,0,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
48817,29614,48817,29614,allow,506,152,354,2,1201,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
48817,23944,48817,23944,allow,513,152,361,2,1201,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
39434,5228,17809,5228,allow,3505,2006,1499,30,3744,15,15,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
62722,443,49389,443,allow,3491257,62261,3428996,3146,155,768,2378,1,"High deviation in pkts_sent, Bytes Received, Bytes"
41322,443,6156,443,allow,994089,30018,964071,1058,350,373,685,1,"High deviation in pkts_sent, Bytes Received, Bytes"
10063,443,38761,443,allow,822903,35544,787359,1068,153,463,605,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38922,443,18971,443,allow,346170,16091,330079,454,16,225,229,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52247,443,52247,443,allow,948720,23674,925046,988,26,349,639,1,"High deviation in pkts_sent, Bytes Received, Bytes"
62721,443,47170,443,allow,5718309,117049,5601260,5287,155,1390,3897,1,"High deviation in pkts_sent, Bytes Received, Bytes"
46056,443,52673,443,allow,80200,69062,11138,193,89,100,93,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
57590,80,57590,80,allow,1165239,13055,1152184,977,149,193,784,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51221,57073,10928,57073,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
48817,45919,48817,45919,allow,334,158,176,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
10151,40231,24979,40231,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
52253,443,52253,443,allow,429263,14390,414873,449,24,159,290,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55858,80,7371,80,allow,104399,8436,95963,122,21,49,73,1,"High deviation in pkts_sent, Bytes Received, Bytes"
41906,443,20652,443,allow,181961,40579,141382,247,238,101,146,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56281,443,8565,443,allow,22352,9825,12527,111,370,55,56,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
19473,28867,41961,28867,allow,480,149,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
47825,443,54151,443,allow,932130,36511,895619,1142,167,465,677,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52114,64853,12974,64853,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52116,64692,45907,64692,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
34225,443,33698,443,allow,256793,17776,239017,327,23,146,181,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,13487,50124,13487,allow,228,118,110,2,1199,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
39817,443,13115,443,allow,516080,28328,487752,660,95,305,355,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56628,443,8752,443,allow,6654,3821,2833,60,3037,30,30,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Sent"
64120,443,47176,443,allow,3767437,87322,3680115,3675,52,1230,2445,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,25649,11591,25649,allow,509,150,359,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
63654,443,35757,443,allow,9152483,314975,8837508,9599,206,3195,6404,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52109,60841,37568,60841,allow,258,70,188,4,8,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
61433,443,33532,443,allow,41274,18956,22318,90,171,43,47,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
58872,443,51853,443,allow,342665,10261,332404,369,90,117,252,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52376,443,24814,443,allow,33906,25094,8812,63,447,36,27,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
30960,45763,2134,45763,allow,330,330,0,6,3609,6,0,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
30960,45752,44974,45752,allow,462,462,0,8,3631,8,0,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
56470,28678,7618,28678,allow,1806,1806,0,22,224,22,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
38705,443,49826,443,allow,1248170,26899,1221271,1212,16,382,830,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57343,443,46945,443,allow,1607664,53945,1553719,1792,39,700,1092,1,"High deviation in pkts_sent, Bytes Received, Bytes"
35973,443,21497,443,allow,4665045,113088,4551957,4511,421,1285,3226,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48817,50321,48817,50321,allow,334,158,176,2,1203,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
50286,443,48730,443,allow,6414386,102255,6312131,5812,182,1634,4178,1,"High deviation in pkts_sent, Bytes Received, Bytes"
22,44840,22,44840,allow,1427,1170,257,8,15,4,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
21133,54508,26359,54508,allow,323,150,173,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
52925,443,2164,443,allow,114867,4243,110624,128,120,44,84,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53159,58710,30090,58710,allow,698,320,378,10,18,6,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
35999,443,44617,443,allow,670261,26523,643738,728,188,262,466,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65375,443,53764,443,allow,2458316,102393,2355923,2942,241,1261,1681,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53865,64000,37089,64000,allow,492,306,186,8,15,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
56275,443,61048,443,allow,513682,20015,493667,523,226,126,397,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53867,60272,36955,60272,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
44162,80,44162,80,allow,457843,10253,447590,452,26,152,300,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50265,49893,64996,49893,allow,480,149,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
58871,443,24562,443,allow,405189,13572,391617,446,89,155,291,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54542,443,54542,443,allow,150554,18764,131790,192,117,95,97,1,"High deviation in pkts_sent, Bytes Received, Bytes"
59952,80,58096,80,allow,440081,8465,431616,424,24,137,287,1,"High deviation in pkts_sent, Bytes Received, Bytes"
59964,443,4370,443,allow,48525,4928,43597,111,660,55,56,1,"High deviation in pkts_sent, Bytes Received, Bytes"
45230,443,23452,443,allow,33924,26047,7877,73,403,33,40,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
48817,57451,48817,57451,allow,152,152,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
56230,5228,8322,5228,allow,2564,1546,1018,18,3600,9,9,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
32805,443,65246,443,allow,438124,21529,416595,481,398,138,343,1,"High deviation in pkts_sent, Bytes Received, Bytes"
30188,51419,27819,51419,allow,502,150,352,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
50474,443,49167,443,allow,17449456,390704,17058752,16816,383,4917,11899,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50584,51413,41920,51413,allow,475,150,325,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
41501,80,33952,80,allow,306627,58973,247654,556,297,246,310,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57832,443,1165,443,allow,91134,7506,83628,132,130,52,80,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48817,36292,48817,36292,allow,519,158,361,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
65507,443,3045,443,allow,453047,13340,439707,469,16,165,304,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50469,443,45578,443,allow,19063941,342071,18721870,17124,384,4119,13005,1,"High deviation in pkts_sent, Bytes Received, Bytes"
62246,443,21397,443,allow,117314,4775,112539,144,120,51,93,1,"High deviation in pkts_sent, Bytes Received, Bytes"
37965,63728,43778,63728,allow,1294,594,700,20,1781,10,10,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
35991,443,8225,443,allow,2509208,64544,2444664,2429,304,700,1729,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48854,443,38265,443,allow,2497156,63601,2433555,2465,17,852,1613,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52252,443,52252,443,allow,221672,9306,212366,249,21,97,152,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65508,443,2648,443,allow,92884,4939,87945,111,16,45,66,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38130,443,8733,443,allow,717020,36766,680254,939,60,449,490,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50482,443,33515,443,allow,6904692,144860,6759832,6483,140,1783,4700,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52112,53559,37444,53559,allow,316,136,180,6,6,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
54503,443,54503,443,allow,157452,26878,130574,213,214,111,102,1,"High deviation in pkts_sent, Bytes Received, Bytes"
58685,443,52844,443,allow,165763,5072,160691,181,120,61,120,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52250,443,52250,443,allow,162355,8745,153610,178,22,66,112,1,"High deviation in pkts_sent, Bytes Received, Bytes"
61417,443,25149,443,allow,652760,608740,44020,734,432,496,238,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52329,443,64562,443,allow,294025,14919,279106,401,42,192,209,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60480,60519,7495,60519,allow,320,140,180,6,8,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
59985,443,35984,443,allow,55132,17147,37985,126,150,55,71,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
54061,443,17849,443,allow,126027,103934,22093,380,239,237,143,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
45565,443,30523,443,allow,1784491,72960,1711531,1872,113,687,1185,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52094,443,49643,443,allow,3296065,47110,3248955,2746,51,533,2213,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53853,39723,8770,39723,allow,1890,1010,880,13,16,8,5,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
42305,443,8617,443,allow,1262512,53286,1209226,1457,280,548,909,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52249,443,52249,443,allow,152755,7304,145451,171,21,65,106,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50728,443,61192,443,allow,34661,17810,16851,89,119,40,49,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
52066,60118,49058,60118,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
36499,443,51972,443,allow,1159756,1123031,36725,1206,26,753,453,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
42306,443,42899,443,allow,449862,38989,410873,644,280,286,358,1,"High deviation in pkts_sent, Bytes Received, Bytes"
42308,443,54120,443,allow,433261,34730,398531,604,279,258,346,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,61404,13734,61404,allow,228,118,110,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
48020,443,61756,443,allow,33481,5635,27846,73,287,32,41,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64651,443,22018,443,allow,317618,11688,305930,350,164,118,232,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,61467,29646,61467,allow,479,150,329,2,1199,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
38857,443,38857,443,allow,115031,5628,109403,143,104,55,88,1,"High deviation in pkts_sent, Bytes Received, Bytes"
51410,443,1294,443,allow,619870,220857,399013,1045,123,531,514,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
38858,443,38858,443,allow,226465,10306,216159,292,104,135,157,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57577,80,57577,80,allow,172548,4355,168193,172,148,53,119,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49749,80,64733,80,allow,230959,4381,226578,217,91,60,157,1,"High deviation in pkts_sent, Bytes Received, Bytes"
30960,45762,15257,45762,allow,330,330,0,6,3609,6,0,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
57978,5228,59102,5228,allow,2725,1610,1115,20,3600,10,10,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
48817,32794,48817,32794,allow,152,152,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
38861,443,38861,443,allow,90303,5838,84465,140,103,68,72,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57587,80,57587,80,allow,218150,5323,212827,218,145,69,149,1,"High deviation in pkts_sent, Bytes Received, Bytes"
64022,60918,37297,60918,allow,66,66,0,2,7,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
49222,443,64126,443,allow,476852,12774,464078,491,17,177,314,1,"High deviation in pkts_sent, Bytes Received, Bytes"
56360,443,55866,443,allow,188316,24744,163572,302,172,119,183,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57591,80,57591,80,allow,144228,2522,141706,135,144,36,99,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49160,16767,65061,16767,allow,854,150,704,4,1200,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
50265,57799,36521,57799,allow,1450,747,703,16,1200,9,7,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
55063,5223,9362,5223,allow,4336,1518,2818,23,3002,14,9,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
37965,63666,47723,63666,allow,10717,6715,4002,121,4588,71,50,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
55877,56299,54578,56299,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
51412,443,35247,443,allow,200230,8733,191497,250,122,106,144,1,"High deviation in pkts_sent, Bytes Received, Bytes"
37336,443,19104,443,allow,995086,50081,945005,1281,216,515,766,1,"High deviation in pkts_sent, Bytes Received, Bytes"
60470,51413,5081,51413,allow,741,435,306,10,16,5,5,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
49655,80,10831,80,allow,6485767,147003,6338764,6221,320,2024,4197,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52138,443,52138,443,allow,80933,20860,60073,121,324,66,55,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
56528,443,48835,443,allow,158084,6138,151946,173,95,64,109,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,51413,48817,51413,allow,200,111,89,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
39717,5228,64597,5228,allow,7587,2099,5488,26,3602,14,12,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
52062,60388,22555,60388,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
64024,57825,29804,57825,allow,312,132,180,6,6,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
55694,62954,52341,62954,allow,504,318,186,8,15,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
55696,64301,60133,64301,allow,316,190,126,5,15,3,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52092,48658,51084,48658,allow,316,136,180,6,7,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
53076,443,8791,443,allow,96850,6037,90813,150,177,55,95,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54749,443,23422,443,allow,273283,194709,78574,1567,3312,746,821,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
51175,443,19417,443,allow,2132473,55149,2077324,2144,63,731,1413,1,"High deviation in pkts_sent, Bytes Received, Bytes"
42066,443,21363,443,allow,377544,10569,366975,414,221,152,262,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53848,43725,33158,43725,allow,552,306,246,9,15,5,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
57833,443,7309,443,allow,215996,13055,202941,265,127,96,169,1,"High deviation in pkts_sent, Bytes Received, Bytes"
6881,6992,61749,6992,allow,150,150,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
52136,443,52136,443,allow,298081,63335,234746,337,323,145,192,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50461,443,13300,443,allow,78333,12774,65559,140,128,59,81,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,50321,60490,50321,allow,5231,5231,0,79,5173,79,0,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
15503,55878,37795,55878,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
49236,443,49236,443,allow,554853,293345,261508,600,69,317,283,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
48817,46429,48817,46429,allow,763,296,467,4,1200,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
53146,443,41053,443,allow,29874004,955051,28918953,31844,303,10580,21264,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48817,33028,48817,33028,allow,152,152,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
48817,27003,48817,27003,allow,839,296,543,4,1200,2,2,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
45184,5228,38008,5228,allow,9107,2358,6749,24,3600,13,11,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
